StructuredCallEntryID,Exchange,ExchSegment,ScripCode,Price,StopLoss,TargetPrice,Validity,RRRValue,InternalRemark,Header,CallType,CategoryID,SubCategoryID,UserID,InsertionTime,IsActive,Attachment,Status,StatusDescreption,BuySell,SendTo,ScripName,ImageURL,ModifiedDT,LastTradedPrice,CallClosedBy,CallClosedDT,CallClosedLTP
229,NSE,EQUITY,1,123.00,123,123.00,08-05-2023 00:00:00,NA,Test Notification call for IOS AND Android ,Test Notification call for IOS AND Android ,Calls,1,6,6,05-08-2023 10:21:58,False,,Open,Test Notification call for IOS AND Android ,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",GOLDSTAR,,01-01-1900 00:00:00,0.00,,,0.00
230,NSE,EQUITY,22,123.00,123,123.00,08-05-2023 00:00:00,NA,Test Notification call for IOS AND Android ,Test Notification call for IOS AND Android  2,Calls,1,6,6,05-08-2023 10:23:38,False,,Open,Test Notification call for IOS AND Android ,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ACC,,01-01-1900 00:00:00,0.00,,,0.00
231,NSE,EQUITY,22,123.00,123,123.00,08-05-2023 00:00:00,NA,Test Notification 3  while app open,Test Notification 3  while app open,Calls,1,6,6,05-08-2023 10:24:45,False,,Open,Test Notification 3  while app open,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ACC,,01-01-1900 00:00:00,0.00,,,0.00
1962,NSE,EQUITY,25,2451.30,0.0,2450.05,09-01-2023 00:00:00,NA,AIS CALL,AIS CALL,AIS,3,6,9,01-09-2023 16:42:12,False,,Open,Buy ADANIENT at Price:2451.3,SELL,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ADANIENT,https://researchpublic.s3.amazonaws.com/AIS2Intell,01-01-1900 00:00:00,0.00,,,0.00
1963,NSE,EQUITY,15083,800.00,0.0,799.50,09-01-2023 00:00:00,NA,AIS CALL,AIS CALL,AIS,3,6,9,01-09-2023 16:42:12,False,,Open,Buy ADANIPORTS at Price:800,SELL,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ADANIPORTS,https://researchpublic.s3.amazonaws.com/AIS2Intell,01-01-1900 00:00:00,0.00,,,0.00
1964,NSE,EQUITY,157,4826.50,0.0,4840.00,09-01-2023 00:00:00,NA,AIS CALL,AIS CALL,AIS,3,6,9,01-09-2023 16:42:12,False,,Open,Buy APOLLOHOSP at Price:4826.5,BUY,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",APOLLOHOSP,https://researchpublic.s3.amazonaws.com/AIS2Intell,01-01-1900 00:00:00,0.00,,,0.00
1965,NSE,EQUITY,236,3227.80,0.0,3259.55,09-01-2023 00:00:00,NA,AIS CALL,AIS CALL,AIS,3,6,9,01-09-2023 16:42:12,False,,Open,Buy ASIANPAINT at Price:3227.8,BUY,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ASIANPAINT,https://researchpublic.s3.amazonaws.com/AIS2Intell,01-01-1900 00:00:00,0.00,,,0.00
1966,NSE,EQUITY,5900,988.00,0.0,991.15,09-01-2023 00:00:00,NA,AIS CALL,AIS CALL,AIS,3,6,9,01-09-2023 16:42:12,False,,Open,Buy AXISBANK at Price:988,SELL,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",AXISBANK,https://researchpublic.s3.amazonaws.com/AIS2Intell,01-01-1900 00:00:00,0.00,,,0.00
1967,NSE,EQUITY,20374,235.20,0.0,236.90,09-01-2023 00:00:00,NA,AIS CALL,AIS CALL,AIS,3,6,9,01-09-2023 16:42:12,False,,Open,Buy COALINDIA at Price:235.2,BUY,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",COALINDIA,https://researchpublic.s3.amazonaws.com/AIS2Intell,01-01-1900 00:00:00,0.00,,,0.00
1980,NSE,EQUITY,1348,3022.00,2900,3320.00,10-03-2023 00:00:00,NA,,Stock Of the Day- HEROMOTOCO,Calls,1,6,6,22-09-2023 17:32:57,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",HEROMOTOCO,,01-01-1900 00:00:00,0.00,,,0.00
1982,NSE,EQUITY,29135,189.70,176.5,215.00,10-10-2023 00:00:00,NA,,Stock of the day - INDUSTOWER,Calls,1,6,6,26-09-2023 13:18:33,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",INDUSTOWER,,01-01-1900 00:00:00,0.00,,,0.00
1984,NSE,EQUITY,383,137.00,129.9,151.00,10-10-2023 00:00:00,NA,,Stock of the day - BEL,Calls,1,6,6,29-09-2023 11:13:06,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",BEL,,01-01-1900 00:00:00,0.00,,,0.00
1986,NSE,EQUITY,383,137.00,130,151.00,10-10-2023 00:00:00,NA,,Scalping Strategy- BEL,Calls,1,6,6,29-09-2023 11:19:01,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",BEL,,01-01-1900 00:00:00,0.00,,,0.00
1988,NSE,EQUITY,17130,216.55,201,228.00,10-03-2023 00:00:00,NA,,PARAG MILK FOODS LTD-BUY,Calls,1,6,6,03-10-2023 10:15:40,False,,Closed,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",PARAGMILK,,01-01-1900 00:00:00,0.00,,,0.00
1989,NSE,EQUITY,11262,460.00,445,495.00,10-12-2023 00:00:00,NA,,IGL Positional,Calls,1,6,6,03-10-2023 10:27:13,False,,Closed,7-8 Days,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",IGL,,01-01-1900 00:00:00,0.00,,,0.00
1990,NSE,EQUITY,2783,480.70,472,500.00,10-03-2023 00:00:00,NA,,Momentum Call- JUBLINGERA,Calls,2,10,6,03-10-2023 11:03:20,False,,Closed,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",JUBLINGREA,,01-01-1900 00:00:00,0.00,,,0.00
1991,NSE,FUTCUR,1007,87.31,87.4575,87.02,10-03-2023 00:00:00,NA,,Momentum Currency- EUROINR,Calls,2,10,6,03-10-2023 11:07:37,False,,Closed,,Sell,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",EURINR 27 Oct 2023,,01-01-1900 00:00:00,0.00,,,0.00
1992,NSE,OPT,56945,66.00,34,120.00,10-03-2023 00:00:00,NA,,Momentum - Nifty Option,Calls,2,9,6,03-10-2023 11:12:38,False,,Closed,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",NIFTY 05 Oct 2023 PE 19500.00,,01-01-1900 00:00:00,0.00,,,0.00
1993,NSE,OPT,100289,14.10,9.5,22.00,10-03-2023 00:00:00,NA,,Intraday Options- IGL,Calls,2,9,6,03-10-2023 11:17:47,False,,Closed,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",IGL 26 Oct 2023 CE 465.00,,01-01-1900 00:00:00,0.00,,,0.00
1994,NSE,EQUITY,5204,326.65,280,387.00,10-04-2023 00:00:00,NA,,GUJARAT MINERAL DEVELOPMENT CORP-BUY,Calls,1,6,6,04-10-2023 10:22:32,False,,Closed,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",GMDCLTD,,01-01-1900 00:00:00,0.00,,,0.00
1995,NSE,EQUITY,2263,254.50,245,278.00,10-11-2023 00:00:00,NA,,Stock of the day - BANDHANBK,Calls,1,6,6,04-10-2023 11:40:28,False,,Closed,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",BANDHANBNK,,01-01-1900 00:00:00,0.00,,,0.00
1996,NSE,EQUITY,9819,1397.00,1348,1489.00,10-04-2023 00:00:00,NA,,HAVELLS-BUY,Calls,1,6,6,04-10-2023 12:58:03,False,,Closed,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",HAVELLS,,01-01-1900 00:00:00,0.00,,,0.00
1997,NSE,EQUITY,2031,1531.00,1498,1590.00,10-12-2023 00:00:00,NA,,Stock of the day - M&M,Calls,1,6,6,05-10-2023 12:34:52,False,,Closed,CLOSED AT 1566,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",M&M,,01-01-1900 00:00:00,0.00,,,0.00
1998,NSE,EQUITY,15124,472.00,462,492.00,10-06-2023 00:00:00,NA,,KOLTEPATIL-BUY,Calls,1,6,6,06-10-2023 11:04:43,False,,Closed,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",KOLTEPATIL,,01-01-1900 00:00:00,0.00,,,0.00
1999,NSE,EQUITY,3186,5329.00,5075,5844.00,10-06-2023 00:00:00,NA,,SKFINDIA-BUY,Calls,1,7,6,06-10-2023 11:06:35,False,,Closed,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",SKFINDIA,,01-01-1900 00:00:00,0.00,,,0.00
2000,NSE,EQUITY,467,633.60,618,675.00,10-06-2023 00:00:00,NA,,HDFC LIFE INSURANCE CO LTD - BUY,Calls,1,6,6,06-10-2023 11:07:37,False,,Closed,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",HDFCLIFE,,01-01-1900 00:00:00,0.00,,,0.00
2001,NSE,EQUITY,15228,60.94,59.75,62.30,10-06-2023 00:00:00,NA,,UJJIVAN SMALL FINANCE BANK LTD- BUY,Calls,1,6,6,06-10-2023 11:08:35,False,,Closed,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",UJJIVANSFB,,01-01-1900 00:00:00,0.00,,,0.00
2006,NSE,EQUITY,11351,231.50,227,245.00,13-10-2023 00:00:00,NA,,PETRONET LNG LTD-BUY,Calls,1,6,6,13-10-2023 11:32:01,False,,Closed,CLOSED AT 230,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",PETRONET,,01-01-1900 00:00:00,0.00,,,0.00
2007,NSE,EQUITY,495,6725.55,6574,7030.00,13-10-2023 00:00:00,NA,,BLUEDART-BUY,Calls,1,6,6,13-10-2023 11:34:31,False,,Closed,CLOSED AT 6740,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",BLUEDART,,01-01-1900 00:00:00,0.00,,,0.00
2008,NSE,FUTSTK,39339,3147.10,3180,3085.00,13-10-2023 00:00:00,NA,,FUTSKT ASAINPAINT-SELL,Calls,2,10,6,13-10-2023 11:39:02,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ASIANPAINT 26 Oct 2023,,01-01-1900 00:00:00,0.00,,,0.00
2009,NSE,EQUITY,14977,201.00,195,218.00,21-10-2023 00:00:00,NA,,Stock Of the day-POWERGRID  ,Calls,1,6,6,13-10-2023 11:56:09,True,,Closed,Take Profit @288.55,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",POWERGRID,,04-06-2025 18:50:30,0.00,Auto,04-06-2025 18:50:30,288.55
2010,NSE,OPT,48236,225.10,184.9,287.80,13-10-2023 00:00:00,NA,,Index Option - BANKNIFTY,Calls,2,9,6,13-10-2023 13:04:55,False,,Closed,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",BANKNIFTY 18 Oct 2023 PE 44300.00,,01-01-1900 00:00:00,0.00,,,0.00
2011,NSE,OPT,44460,123.00,102.9,148.50,13-10-2023 00:00:00,NA,,Index Option - NIFTY,Calls,2,9,6,13-10-2023 13:08:36,False,,Closed,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",NIFTY 19 Oct 2023 CE 19700.00,,01-01-1900 00:00:00,0.00,,,0.00
2012,NSE,EQUITY,14977,201.00,195,218.00,20-10-2023 00:00:00,NA,,Stock of the Day- Power Grid,Calls,1,6,6,13-10-2023 15:35:06,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",POWERGRID,,01-01-1900 00:00:00,0.00,,,0.00
2013,MCX,FUTCOMM,250883,58315.00,58371,58259.00,13-10-2023 00:00:00,NA,,MCX Gold ,Calls,2,9,6,13-10-2023 15:58:21,False,,Closed,,Sell,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",GOLD 05 Dec 2023,,01-01-1900 00:00:00,0.00,,,0.00
2014,NSE,EQUITY,14977,200.00,195,219.00,13-10-2023 00:00:00,NA,,Stock Of the day- Power Grid,Calls,1,6,6,13-10-2023 18:06:42,False,,Closed,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",POWERGRID,,01-01-1900 00:00:00,0.00,,,0.00
2015,NSE,EQUITY,2412,1056.00,1025,1120.00,31-10-2023 00:00:00,NA,,Value Pick- PEL,Calls,1,8,6,13-10-2023 19:23:39,True,,Closed,Take Profit @1131.50,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",PEL,,04-06-2025 18:50:30,0.00,Auto,04-06-2025 18:50:30,1131.50
2016,NSE,EQUITY,11840,1102.10,1084.9,1138.70,23-10-2023 00:00:00,NA,,Stock Of the day-NARAYANA HRUDAYALAYA,Calls,1,6,6,16-10-2023 09:29:48,False,,Closed,SL Hit,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",NH,,01-01-1900 00:00:00,0.00,,,0.00
2017,NSE,OPT,181176,141.00,115,197.00,16-10-2023 00:00:00,NA,,Stock Option- ULTRATECH,Calls,2,9,6,16-10-2023 09:41:08,False,,Closed,SL Triggered,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ULTRACEMCO 26 Oct 2023 CE 8400.00,,01-01-1900 00:00:00,0.00,,,0.00
2018,NSE,OPT,181176,141.00,115,197.00,16-10-2023 00:00:00,NA,,Stock Option,Calls,2,9,6,16-10-2023 09:44:27,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ULTRACEMCO 26 Oct 2023 CE 8400.00,,01-01-1900 00:00:00,0.00,,,0.00
2019,NSE,FUTCUR,3935,101.25,101.03,101.65,16-10-2023 00:00:00,NA,,Currency - GBPINR,Calls,2,9,6,16-10-2023 10:27:12,False,,Closed,Target Done,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",GBPINR 20 Oct 2023,,01-01-1900 00:00:00,0.00,,,0.00
2020,NSE,EQUITY,212,177.50,172,193.00,24-10-2023 00:00:00,NA,,Stock of the day - ASHOKLEY ,Calls,1,6,6,16-10-2023 10:46:46,True,,Closed,TARGET,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ASHOKLEY,,01-01-1900 00:00:00,0.00,,,0.00
2021,MCX,FUTCOMM,257618,700.00,696.9,704.00,16-10-2023 00:00:00,NA,,MCX COPPER,Calls,2,9,6,16-10-2023 11:13:18,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",COPPER 31 Oct 2023,,01-01-1900 00:00:00,0.00,,,0.00
2022,NSE,OPT,44465,103.10,79.8,138.40,16-10-2023 00:00:00,NA,,Index Option	- NIFTY,Calls,2,9,6,16-10-2023 12:14:10,False,,Closed,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",NIFTY 19 Oct 2023 PE 19800.00,,01-01-1900 00:00:00,0.00,,,0.00
2023,NSE,FUTSTK,52523,5202.10,5189.90,5218.70,16-10-2023 00:00:00,NA,,Stock Future - LTIM,Calls,2,10,6,16-10-2023 14:57:13,False,,Closed,Not Executed,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",LTIM 26 Oct 2023,,01-01-1900 00:00:00,0.00,,,0.00
2024,NSE,EQUITY,2792,42.70,39.6,48.80,30-11-2023 00:00:00,NA,,Value Invest - EASEMYTRIP,Calls,1,8,6,16-10-2023 15:24:00,True,,Closed,SL Hit @10.96,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",EASEMYTRIP,,04-06-2025 18:50:30,0.00,Auto,04-06-2025 18:50:30,10.96
2025,NSE,EQUITY,1630,601.10,594.9,614.40,17-10-2023 00:00:00,NA,,Intraday Trade-IONEXCHANG,Calls,2,9,6,17-10-2023 09:12:20,False,,Closed,Target Done,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",IONEXCHANG,,01-01-1900 00:00:00,0.00,,,0.00
2026,NSE,FUTSTK,52518,140.55,139.95,141.25,17-10-2023 00:00:00,NA,,Stock Future-L&TFH,Calls,2,9,6,17-10-2023 09:36:35,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",L&TFH 26 Oct 2023,,01-01-1900 00:00:00,0.00,,,0.00
2027,NSE,OPT,42083,30.00,19,46.00,17-10-2023 00:00:00,NA,,Index Option-FINNIFTY,Calls,2,10,6,17-10-2023 10:11:08,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",FINNIFTY 17 Oct 2023 PE 19950.00,,01-01-1900 00:00:00,0.00,,,0.00
2028,NSE,EQUITY,1901,1712.00,1770,1682.00,17-10-2023 00:00:00,NA,,Stock of the Day-CUMMINSIND,Calls,1,6,6,17-10-2023 10:46:46,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",CUMMINSIND,,01-01-1900 00:00:00,0.00,,,0.00
2029,NSE,FUTCUR,3935,101.52,101.44,101.74,17-10-2023 00:00:00,NA,,Currency Trade-GBPINR,Calls,2,10,6,17-10-2023 10:52:42,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",GBPINR 20 Oct 2023,,01-01-1900 00:00:00,0.00,,,0.00
2030,MCX,FUTCOMM,256293,7185.00,7208,7157.00,17-10-2023 00:00:00,NA,,Energy-CRUDE OIL,Calls,2,9,6,17-10-2023 11:08:33,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",CRUDEOIL 19 Oct 2023,,01-01-1900 00:00:00,0.00,,,0.00
2031,NSE,EQUITY,14977,207.00,206.2,207.90,17-10-2023 00:00:00,NA,,Intraday Trade-POWERGRID,Calls,2,9,6,17-10-2023 11:14:32,False,,Closed,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",POWERGRID,,01-01-1900 00:00:00,0.00,,,0.00
2032,NSE,FUTSTK,52523,5230.10,5219.95,5243.70,17-10-2023 00:00:00,NA,,Stock Future-LTIM,Calls,2,10,6,17-10-2023 11:30:34,False,,Closed,Target Done,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",LTIM 26 Oct 2023,,01-01-1900 00:00:00,0.00,,,0.00
2033,NSE,EQUITY,467,646.00,630,684.00,25-10-2023 00:00:00,NA,,Wealth Pick-HDFCLIFE,Calls,1,6,6,17-10-2023 11:38:19,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",HDFCLIFE,,01-01-1900 00:00:00,0.00,,,0.00
2034,NSE,EQUITY,467,646.00,630,684.00,25-10-2023 00:00:00,NA,,Wealth Pick-HDFCLIFE,Calls,1,7,6,17-10-2023 11:41:59,True,,Closed,Take Profit @758.80,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",HDFCLIFE,,04-06-2025 18:50:30,0.00,Auto,04-06-2025 18:50:30,758.80
2035,MCX,FUTCOMM,250883,59117.00,58999,59235.00,17-10-2023 00:00:00,NA,,Bullions-GOLD,Calls,2,10,6,17-10-2023 11:51:40,False,,Closed,Target Done,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",GOLD 05 Dec 2023,,01-01-1900 00:00:00,0.00,,,0.00
2036,NSE,OPT,113205,54.10,49.85,59.80,18-10-2023 00:00:00,NA,,Stock Option-LTTS PUT BUY,Calls,2,10,6,18-10-2023 09:26:48,False,,Closed,SL Triggered,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",LTTS 26 Oct 2023 PE 4400.00,,01-01-1900 00:00:00,0.00,,,0.00
2037,NSE,OPT,44462,85.00,70,100.00,18-10-2023 00:00:00,NA,,Index Option-NIFTY CALL BUY,Calls,2,9,6,18-10-2023 09:32:58,False,,Closed,Target Done,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",NIFTY 19 Oct 2023 CE 19750.00,,01-01-1900 00:00:00,0.00,,,0.00
2038,NSE,EQUITY,1901,1719.00,1682,1759.00,25-10-2023 00:00:00,NA,,Stock of the Day-CUMMINS LTD,Calls,1,6,6,18-10-2023 10:15:30,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",CUMMINSIND,,01-01-1900 00:00:00,0.00,,,0.00
2039,MCX,FUTCOMM,256293,7359.00,7383,7333.00,18-10-2023 00:00:00,NA,,Energy- CRUDEOIL SELL ,Calls,2,9,6,18-10-2023 11:01:00,False,,Closed,SL Triggered,Sell,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",CRUDEOIL 19 Oct 2023,,01-01-1900 00:00:00,0.00,,,0.00
2040,NSE,FUTCUR,3984,83.23,83.13,83.34,18-10-2023 00:00:00,NA,,Currency Trade-USDINR BUY,Calls,2,9,6,18-10-2023 11:21:32,False,,Closed,EXITED AT 83.28,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",USDINR 20 Oct 2023,,01-01-1900 00:00:00,0.00,,,0.00
2041,NSE,EQUITY,1660,455.50,445,478.00,25-10-2023 00:00:00,NA,,Stock of the Day - ITC BUY,Calls,1,6,6,18-10-2023 11:32:43,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ITC,,01-01-1900 00:00:00,0.00,,,0.00
2042,NSE,EQUITY,13081,405.10,399.9,412.70,18-10-2023 00:00:00,NA,,Intraday Trade - BUY TRIVENI,Calls,2,9,6,18-10-2023 14:45:21,False,,Closed,Not Executed,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",TRIVENI,,01-01-1900 00:00:00,0.00,,,0.00
